1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,S,S,S,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,T,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,L,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
OutNumber , InNumber , ParticleNumberInSafeAria , AllParticleNumber, OutPosition, InPosition
1,1,0,7,Inlet(7 . 5),,Outlet(7 . 4), 
2,2,0,42,Inlet(7 . 2),Inlet(0 . 6),,Outlet(0 . 3), Outlet(7 . 5), 
3,3,0,9,Inlet(0 . 6),Inlet(0 . 1),Inlet(0 . 4),,Outlet(7 . 4), Outlet(7 . 2), Outlet(0 . 3), 
4,4,0,0,Inlet(0 . 6),Inlet(0 . 5),Inlet(7 . 2),Inlet(7 . 5),,Outlet(7 . 3), Outlet(0 . 1), Outlet(0 . 2), Outlet(0 . 3), 
5,5,0,64,Inlet(7 . 1),Inlet(0 . 4),Inlet(7 . 4),Inlet(0 . 3),Inlet(7 . 5),,Outlet(0 . 1), Outlet(7 . 3), Outlet(0 . 6), Outlet(0 . 5), Outlet(7 . 2), 
6,6,0,27,Inlet(7 . 2),Inlet(0 . 3),Inlet(0 . 4),Inlet(7 . 5),Inlet(7 . 1),Inlet(0 . 1),,Outlet(7 . 3), Outlet(0 . 5), Outlet(0 . 2), Outlet(0 . 6), Outlet(7 . 4), Outlet(7 . 6), 
